性別,年齢,職業,予約,施術,口コミ,店名
女性,20代後半,,カット+外国人風色彩カラー（全体）+アシストTr付　\6900 カット、カラー,カット、カラー,人生初めての赤髪とても気に入りました！髪の毛が可愛いくて毎日楽しいです。またお願いします。,C店
女性,40代,,カット＋オーガニック白髪カラー（全体）＋アシストTr付　\5900 カット、カラー,カット、カラー,曖昧なリクエストを丁寧に受け止めてくださり、予想以上に素敵なヘアスタイルにしてもらいました,C店
女性,20代前半,学生,カット＋外国人風色彩カラー（全体）＋縮毛矯正＋アシストTr付 \15900 カット、カラー、縮毛矯正,"\15900
[施術メニュー]",全てが良かったです！！！ありがとうございました！,C店
男性,20代前半,学生,【まずはご相談ください♪】最適でお得なクーポンをご案内！￥0 カット、カラー、パーマ、縮毛矯正、エクステ、トリートメント、ヘアセット、ヘッドスパ、着付け、その他,カット、カラー、パーマ、縮毛矯正、エクステ、トリートメント、ヘアセット、ヘッドスパ、着付け、その他,パーマがとても良かったです。,C店
女性,40代,その他,【うる艶!】カット＋オーガニック白髪カラー（リタッチ）＋ナプラTr付　\6900 カット、カラー、トリートメント、ヘッドスパ,カット、カラー、トリートメント、ヘッドスパ,今月も親子でお世話になりました。いつもまとまりよくしっくりくるスタイルにしていただいてます。周囲からも良いね！と褒められます。カラーも自然な色味で満足です。また次回もよろしくお願いいたします。,C店
女性,30代後半,会社員,クーポン利用なし カラー,カラー,すごく早く仕上げてくださって大満足でした。痛みもおさまって良かったです。ありがとうございました。,C店
女性,40代,主婦,【学割U24】カット+シャンプーブロー　\5500→\2900 カット,カット,娘が利用しました。学割が使えてとても良かったです,C店
女性,40代,自営業,カット+外国人風色彩カラー（全体）+アシストTr付　\6900 カット、カラー,カット、カラー,久しぶりの来店になってしまいましたが、いつも通りの仕上がりにしていただき大満足です。ありがとうございました。,C店
男性,40代,会社員,【男性クーポン！】カット＋白髪染め（全体）＋アシストTr付　\5900 カット、カラー,カット、カラー,いつも丁寧に仕上げて頂きありがとうございます！,C店
女性,20代前半,学生,【学割U24】カット+シャンプーブロー　\5500→\2900 カット,カット,丁寧に対応して下さってありがとうございます。,C店
女性,40代,会社員,【艶髪！美髪♪】カット+外国人風色彩カラー+ハホニコTr付　\13900→\10400 カット、カラー、トリートメント,カット、カラー、トリートメント,今回も希望通りの仕上がりでした。またよろしくお願いします。,C店
女性,20代前半,学生,クーポン利用なし その他,その他,とても手際よくシャンプーブローしていただきました。他のお店よりも金額がお手頃なので、定期的にお願いしたいと思います！,C店
女性,30代前半,会社員,【艶髪！美髪♪】カット+外国人風色彩カラー+ハホニコTr付　\13900→\10400 カット、カラー、トリートメント,カット、カラー、トリートメント,やりたいヘアスタイルがかなりあやふやな状態で行きましたが、丁寧にカウンセリングしてくれました！私自身あまり細部のこだわりはなく、女性らしい柔らかい雰囲気になりたいなどのイメージしかなかったので、色味や長さなどはほぼアドバイス通りにお願いしました。結果、大人可愛い感じになってとっても良かったです。センス良い！私は前髪が割れやすいタイプなので、前髪を作るとサロン直後のセットしてもらった状態でも、ちょっと変だなとなることもあるのですが、今回はいい感じです。多少割れてもいい感じになるバランスの前髪です。カットがとても上手だと思います。髪の生えぐせも丁寧に見てくれて、扱い方も教えてくれました。文句なしです！ありがとうございました！,C店
男性,20代前半,,カット＋眉カット　\4000 カット、その他,カット、その他,ヘアスタイルの提案から施術まで丁寧でとても良かったです。ありがとうございました！,C店
女性,50代,会社員,カット＋オーガニック白髪カラー（全体）＋アシストTr付　\5900 カット、カラー,カット、カラー,写真を見せて希望の髪型を伝えましたが、感性が合ったのか本当に思ったとおりのスタイルにしてもらえました。また、おしゃべりは控えめでしたが、心地よかったです,C店
女性,20代前半,,【学割U24】カット＋オーガニックブラウンカラー（全体）　\7500→\4800 カット、カラー,カット、カラー,こちらの要望を丁寧に聞いてくれて希望通りの髪型、髪色になれました！日にちが経っても整えやすくて助かっています。沖縄の話も聞けて楽しかったです。またおねがいします！,C店
女性,50代,会社員,【平日早割！】カット＋オーガニックブラウンカラー（全体）　\7500→\4500 カット、カラー,カット、カラー,"カットが上手で希望通りの髪型（ハンサムショートヘア）になりました。後頭部も丸く仕上がり、気に入っています。白髪染めリタッチもきれいです（プラス1,000円）料金も良心的。またお願いしたいです。",C店
女性,10代後半,学生,クーポン利用なし カラー,カラー,施術前にたくさん教えてくださり、相談に乗ってくださって、やりたかった髪色になれました！いつもありがとうございます！！,C店
女性,30代前半,自営業,【最高級♪TOKIO Tr付！】カット＋TOKIOトリートメント＋カラー　\9400 カット、カラー、トリートメント,"Tr付！】カット＋TOKIOトリートメント＋カラー　\9400
[施術メニュー]",ミニボブにしていただきました、いつもありがとうございます(^ ^)次回はパーマかけようかなって思ってますまたよろしくお願いします,C店
女性,30代前半,,カット＋クイックスパ　\5500 カット、ヘッドスパ,カット、ヘッドスパ,丁寧にカウンセリングして頂き、メニューも急遽変えてもらいありがとうございました。,C店
男性,20代前半,学生,クーポン利用なし カット,カット,よかったです。,C店
女性,20代前半,会社員,【透明感！】カット+ブリーチ+外国人風色彩カラー+アシストTr付　\11900 カット、カラー,カット、カラー,いつもお世話になっている美容院、美容師さんです。髪の毛を伸ばしたい、でも髪を痛めたくない、ウルフカットが好き（担当スタイリストさんに提案してもらった）だからキープしたい、でもやっぱり髪は伸ばしたい、高いから美容院はたくさん通いたくないけどブリーチもしたいパーマもしたい……というわたしのリクエストだらけの注文をすべて叶えてくれる、すごすぎる方です（笑）。すぐ髪型に飽きてしまう私ですが、担当スタイリストさんがいろいろ先のことも考えて提案してくださるおかげで飽きずにここまで髪伸ばしています◎これからもよろしくお願いします！,C店
女性,50代,,クーポン利用なし カラー,カラー,前回とても気に入ったリタッチの仕上がりになったのに、今回指名せずに行ったら希望がうまく伝わらず、残念です。次からはスタイリストさんを指名して、希望の仕上がりが毎回提供されるようにしたいと思います。,C店
女性,30代前半,会社員,【最高級♪TOKIO Tr付！】カット＋TOKIOトリートメント　\6500 カット、トリートメント,"Tr付！】カット＋TOKIOトリートメント　\6500
[施術メニュー]",いつも細かなヒアリングと、丁寧な仕上げをしてくれます。髪型の悩みだけでなく、長期的なケアなども相談にのってくれます。,C店
女性,30代前半,主婦,前髪カット＋前髪縮毛＋アシストトリートメント付　\4500 カット、縮毛矯正、トリートメント,カット、縮毛矯正、トリートメント,前髪の縮毛矯正をお願いしましたが、かける前と変わらずでかかっていない箇所がありました。タメ口もどうかと思います。大変残念でした。,C店
男性,20代前半,学生,【学割U24】カット+シャンプーブロー　\5500→\2900 カット,カット,さっぱりカットしていただいて、スッキリして良かったです。,C店
女性,50代,自営業,クーポン利用なし カット,カット,いつも担当スタイリストさんにお願いしてます。カットが丁寧。サロン帰りに会った友人全員からすごくステキ！と声をかけられ、大満足です！,C店
女性,20代後半,会社員,クーポン利用なし カット,カット,担当スタイリストさんのお名前が思い出せず、すみません…。髪が長い金髪のお兄さんにカットしていただきました。いつもご担当いただいており、「好きなアイドルと似た髪型にしてください」と無茶振りをしてもいつも快く親切に対応してくださいます。また、スタイリングのコツもいつも最後に教えてくださって、とても参考になります。今後とも宜しくお願い致します！,C店
女性,20代後半,会社員,クーポン利用なし カット,カット,とても丁寧にご対応いただきありがとうございました！カットの際、髪質や仕上がりも随時ご相談くださったためとってもきれいにまとまりました。また、髪のセット方法も詳しく教えてくださり大変参考になりました。ありがとうございます！,C店
女性,50代,,クーポン利用なし カット,カット,手際よくいい感じに仕上げてもらいました満足です　ありがとうございます,C店
女性,20代後半,,クーポン利用なし カット,カット,いつもありがとうございます！来月もよろしくお願いします！,C店
男性,20代後半,自営業,クーポン利用なし カット,カット,接客も技術も満足でした。また足を運ぼうと思います。良い美容師さんに出会えてよかったです。,C店
男性,20代後半,その他,クーポン利用なし カット,カット,気になっていたところをイメージ通りになり、とても満足しています。,C店
女性,30代前半,会社員,クーポン利用なし カット,カット,髪色に悩んでいたら細かくアドバイスしてくださり、仕上がりもとっても気に入りました！ありがとうございました！また必ず伺います！！,C店
男性,30代前半,会社員,クーポン利用なし カット,カット,日本で一番良い美容室！,C店
女性,50代,会社員,カット＋水パーマorデジタルパーマ＋アシストトリートメント付　\6900 カット、パーマ,カット、パーマ,初めてうかがいましたが、わかりやすい説明や提案をして頂いて、落ち着いてお任せできました。,C店
女性,50代,その他,カット+外国人風色彩カラー（全体）+アシストTr付　\6900 カット、カラー,カット、カラー,ロングヘアからミディアムに、自身でセットしたいとお願いしました。カラーも肌が明るさが引立つ様に抜群な調整をして下さりスタイル、カラーと大満足。感謝しています。スタイリストさんのセンスに脱帽。,C店
女性,70代～,その他,クーポン利用なし その他,その他,いつもありがとうございます。雰囲気がかわりましたね。開放的な感じ。ネットの雑誌があまり繋がらないのですが・・・,C店
女性,60代,会社員,【うる艶!】カット＋オーガニック白髪カラー（リタッチ）＋ナプラTr付　\6900 カット、カラー、トリートメント,カット、カラー、トリートメント,とてもよかったです、いつも満足しています。,C店
女性,30代前半,,クーポン利用なし カラー,カラー,男性の定員3名でした。最初は対応があまり良くなくて失敗したなーと思いましたが仕上がりは普通だったので良かったです。,C店
男性,20代前半,学生,【キューティクルケアTr付♪】カット＋ナプラTr　\4000 カット、トリートメント,カット、トリートメント,こちらのニーズに合わせて丁寧な提案をしていただきました。ありがとうございます。またお願いします。,C店
女性,40代,会社員,【艶髪！美髪♪】カット+外国人風色彩カラー+ハホニコTr付　\13900→\10400 カット、カラー、トリートメント,カット、カラー、トリートメント,いつもありがとうございます。今回もヘアカラーやスタイル、大変満足しております。次回もよろしくお願い致します。,C店
女性,40代,会社員,【艶髪！美髪♪】カット+外国人風色彩カラー+ハホニコTr付　\13900→\10400 カット、カラー、トリートメント,カット、カラー、トリートメント,希望通りの髪型 髪色になりとても満足です。またお願いします。,C店
女性,40代,その他,【うる艶!】カット＋オーガニック白髪カラー（リタッチ）＋ナプラTr付　\6900 カット、カラー、トリートメント、ヘッドスパ,カット、カラー、トリートメント、ヘッドスパ,お店がリニューアルしてはじめて伺いました。明るく広々とした空間で良いと思います。今回も何も言わずとも納得の仕上がりで、いつも安心してお任せしています。,C店
女性,30代後半,会社員,カット＋水パーマorデジタルパーマ＋アシストトリートメント付　\6900 カット、パーマ,カット、パーマ,パーマ、カットとトリートメントの背術をしていただきました。仕上がりもよく、スタイリングの方法を教えてもらい満足しています。,C店
女性,70代～,その他,クーポン利用なし カラー,カラー,いつも有難うございます,C店
女性,70代～,その他,クーポン利用なし その他,その他,いつも有難うございます,C店
男性,20代前半,学生,【学割U24】カット+シャンプーブロー　\5500→\2900 カット,カット,軽さを希望してその通りにカットして頂けました。ありがとうございました。,C店
男性,30代後半,会社員,カット＋眉カット　\4000 カット、その他,カット、その他,いつも丁寧に仕上げていただき、家族にも評判良いです。お店は最近リニューアルされて広々としていました。他の方とも目線があうことなく、リラックスできます！,C店
男性,20代後半,会社員,カット＋眉カット　\4000 カット、その他,カット、その他,雰囲気もよく、髪の相談まで乗っていただきありがたかったです！改装された空間も広々とし、日当たりも良く心地いいです。,C店
女性,40代,自営業,カット＋オーガニックブラウンカラー（全体）＋アシストTr付　\4900 カット、カラー,カット、カラー,週末にある予定のためにカットとカラーで急遽お願いしました。私の不慣れな要望も根気よく聞いてくださり、とても丁寧に仕上げていただけて嬉しかったです。ありがとうございました。,C店
女性,20代前半,会社員,【OPEN記念】カット+髪質改善ULTOWAトリートメント,カット、トリートメント,今回初めての来店でした！９月オープンらしく店内とても綺麗でとても居心地が良かったです！担当していただいたスタッフの方も本当に気さくな方でお店にいる時間もあっという間に過ぎました。初めましてでしたがカウンセリングの時から丁寧でわかりやすく髪の毛のことを説明してくれて、これからちゃんとサラサラの髪の毛目指して頑張ろうと思えました！！施術に関しては正直今までトリートメントといってもあまり違いが分かりませんでしたが今回はしっかりとした説明をしていただいていたので心なしかいつも以上にサラサラになった感じがしました！それと一緒に軽くヘッドスパをしていただいたのですがこれがまたとても気持ちよかったです！ここのツボが痛いってことは目が疲れてるので少しスマホから離れる時間作った方がいいなど、髪の毛以外のことまで気を使っていただきました！メンズも上手みたいなので今度彼氏と一緒に行きたいと思います！髪の毛痛んでる方、仕事などで疲れてる方、メンズの方にとても今回担当していただいた方はご紹介したいと思います！今回はありがとうございました！また来月よろしくお願いします！,D店
女性,20代前半,,カット+カラー+エクステdeインナーカラー,カット、カラー、エクステ,とても髪に詳しいので話していて楽しかったです エクステも理想の色を作っていただけてとても気に入りました、ありがとうございました,D店
女性,40代,,【NEW】カラー+プルエクステ60本（42cm）,カラー、エクステ,遅れてしまったのにとても優しく対応してくださって嬉しかったです。すごくスタッフの皆さんも可愛く、エクステも久しぶりにつかましたが今までで一番気に入っています。変な突っ張りもなくほぼ地毛かな？って思うレベルです。また伺うのでよろしくお願いします！,D店
女性,30代前半,会社員,《韓国風》カット+カラー+トリートメント【巻き髪レクチャー付き】,カット、カラー、トリートメント,高発色カラー剤への変更・トリートメントの追加で当初の予定の倍くらいの金額になってしまいました。（無理な勧めなどはなく、こちらに選択肢をいただけました^^）当日は表面はキレイに染まってツヤツヤになっていたし、担当いただいたスタイリストさんも話しやすく大満足だったのですが、色持ちが悪く2週間経たないうちに抜けてしまいました。色々オプションを付けた結果、それなりの金額になってしまいましたが持ちが良くなかったのが残念です。元々の金額であればこの持ちでも納得できたかなぁという感想でした。,D店
女性,10代後半,学生,サロンからのメッセージクーポン カット、カラー,カット、カラー,クーポン内容やブリーチ後のケアの仕方、注意点を細かく教えて貰ってとても助かりました！店の雰囲気も可愛くオシャレでオススメです!!,D店
女性,30代前半,,【NEW】プルエクステ60本（42cm）,エクステ,道を間違えて、遅刻しました。エクステの,D店
女性,20代前半,会社員,カット＋縮毛矯正,カット、縮毛矯正,終始丁寧な対応で、とてもよかったです！！また、仕上がりも満足のいくものでした。初めて矯正をかけたいと思っていたのですが、矯正とトリートメントのそれぞれのメリット、デメリットを教えてくださり、お客さんである自分にとっていちばん良いものを提案してくださりました。また行きたいと思います。ありがとうございました！！,D店
女性,20代前半,学生,【NEW】カラー+プルエクステ60本（42cm）,カラー、エクステ,初めてエクステを付けたのですが、とても可愛くして下さり有難う御座います！！担当して頂いたスタイリストさんは凄く優しくて施術中もお話しながらであっという間でした！カラーも可愛く、エクステのお手入れなど丁寧に教えて頂き有難う御座いました！！とっても気に入りました！また、次回も来店しようと思うので是非宜しくお願いします！！今回は有難う御座いました^ ^！,D店
女性,20代後半,,ケアカラー+TOKIOトリートメント,カラー、エクステ、トリートメント,完璧です！またお願いします,D店
女性,10代後半,学生,カット＋フルカラー+前処理トリートメント,カット、カラー、トリートメント,初めて利用させて頂きました。カラーは綺麗に染まったのですが顎下カットのボブと言ったはずが結構な顎上でしかも左右少し長さが違いました、カラーはまた利用したいと思いましたがカットは利用したくないです。,D店
女性,20代前半,会社員,クーポン利用なし カラー,カラー,今回はブリーチだけの利用でしたが、カラーもお願いすればよかったかなーって思うくらい対応が丁寧でした！急なカットにも対応いただきありがとうございます。また機会があればよろしくお願いします～,D店
女性,30代前半,会社員,カット+ケアカラー（アディクシー/イルミナカラー）,カット、カラー,伸び放題の髪を切ってくださり本当にありがとうございました。どれくらいの長さにしようかと迷っていました。色々調べて、これくらいで良いかなぁー？と感じだったのですが、髪のクセや感じで、これくらいが良さそう、という事や、髪の色も暗めな感じが良いとアバウトなイメージで伝えてしまいましたが、こんなのは？と色々提案してもらえてありがたかったです。結果髪色もとても良い感じで、乾かしてもらいながらウキウキした気持ちになりました。髪のクセや輪郭などから前髪や髪のカット方法等調整していただき、セットの仕方も親身に考えてもらえてとてもありがたかったです！どこで,D店
女性,30代前半,自営業,カット＋フルカラー+前処理トリートメント,カット、カラー、トリートメント,かなり酷い髪の状態でしたがご対応くださりました。急用のため当日訪問でしたが、体調にも気を遣い素早く仕上げいただき本当に助かりました。担当様が嫌な思いをしていたら申し訳ないと思い口コミさせていただきました。この度は有難う御座いました。,D店
女性,20代前半,,カラー+プルエクステ80本（52cm）,カット、カラー、エクステ,毎回可愛くしていただいてとても楽しくお話してくださるし仕上がりもとても満足です！いつもありがとうございます。,D店
女性,10代後半,学生,フルカラー+前処理トリートメント,カラー、トリートメント,染めてもらいたかった赤っぽいピンクに染めてもらいました！可愛くなって嬉しいです！染めてもらってる時もたくさんお話してくれて楽しかったです！,D店
女性,20代後半,会社員,フルカラー+前処理トリートメント,カラー、トリートメント,今回もとっても可愛い色にしていただけました、毎度毎度ありがとうございます。丁寧にカウンセリングしていただけるのでありがたいです、また次回もよろしくお願いします。,D店
男性,20代前半,会社員,相談0円クーポン【迷ったらこちら】※メニュー内容を備考欄にご入力ください カット、カラー、パーマ、縮毛矯正、エクステ、トリートメント、ヘアセット、ヘッドスパ,カット、カラー、パーマ、縮毛矯正、エクステ、トリートメント、ヘアセット、ヘッドスパ,今回初めての利用だったのですが、担当スタイリストさん含めスタッフの気遣い、雰囲気がとても良かったと感じました。また、来たいと思います。,D店
女性,20代後半,会社員,カット＋フルカラー+前処理トリートメント,カット、カラー、トリートメント,前回カットカラーして頂きとっても満足だったので再来店でしたが今回はひどかったです、、、。写真を見せたんですけどチラ見？と思うぐらい一瞬しか見て頂けず肩よりも長くと伝えたはずなのですが肩よりもすごく短く切られました。髪の毛はまぁ伸びるからいいか、、と諦めましたが帰ってきてからガタガタしているのを見たり写真と全くちがう髪型になっていてかなり落ち込みました。後ろがとくに短くてすごくダサいです。あとカラーも写真の普通の茶色をお願いしたのですが真っ黒になりました。明るい部分と暗い部分の差があるらしく暗くなるけど1週間すれば色落ちするので大丈夫とのこと、、。ライブイベントが3日後だったのでそれに合わせて髪を染めたはずが真っ黒になってしまい悲しかったです。そのようなことは事前にお伝えして頂きたかったです。今まで茶色が入らなかったことなかったので黒染め？と思うぐらい真っ黒になってました、、結局家で自分で染め直しました、、お金をかけて交通費をかけて行ったのにカットもカラーも散々でした、、施術は好きなのでまた行きたいですが今回は残念でした。,D店
男性,20代前半,会社員,相談0円クーポン【迷ったらこちら】※メニュー内容を備考欄にご入力ください カット、カラー、パーマ、縮毛矯正、エクステ、トリートメント、ヘアセット、ヘッドスパ,カット、カラー、パーマ、縮毛矯正、エクステ、トリートメント、ヘアセット、ヘッドスパ,お店の雰囲気もとても良くてお話上手だったから髪切りに来たけど楽しかったです仕上がりもお願いした通りで完璧だったから満足です,D店
女性,20代後半,,パーティーヘアセット,ヘアセット,結婚式用にとお願いしたら、クセが強く寝起きでボサボサの髪をあっという間に素敵にアレンジしてくれました。友達にも可愛いと褒められました。大満足です。ありがとうございました。,D店
男性,20代前半,自営業,相談0円クーポン【迷ったらこちら】※メニュー内容を備考欄にご入力ください カット、カラー、パーマ、縮毛矯正、エクステ、トリートメント、ヘアセット、ヘッドスパ,カット、カラー、パーマ、縮毛矯正、エクステ、トリートメント、ヘアセット、ヘッドスパ,自分がしてほしい内容の施術をムラなくしながらおすすめの髪型や、セットの仕方を教えてくれるのでとても楽しめながら時間を過ごせました。,D店
男性,20代前半,自営業,【新規限定】メンズカット45分,カット,迷ったらこの人！若手の大型新人,D店
男性,20代前半,会社員,相談0円クーポン【迷ったらこちら】※メニュー内容を備考欄にご入力ください カット、カラー、パーマ、縮毛矯正、エクステ、トリートメント、ヘアセット、ヘッドスパ,カット、カラー、パーマ、縮毛矯正、エクステ、トリートメント、ヘアセット、ヘッドスパ,丁寧に接客していただきまた利用したいと思います！,D店
女性,20代後半,,相談0円クーポン【迷ったらこちら】※メニュー内容を備考欄にご入力ください カット、カラー、パーマ、縮毛矯正、エクステ、トリートメント、ヘアセット、ヘッドスパ,カット、カラー、パーマ、縮毛矯正、エクステ、トリートメント、ヘアセット、ヘッドスパ,初めての来店でしたが、リクエスト通りのヘアカラーカットの施術で満足でした！とても、気さくに話しかけてくれて楽しかったです。,D店
女性,20代後半,会社員,《韓国風》カット+カラー+トリートメント【巻き髪レクチャー付き】,カット、カラー、トリートメント,,D店
女性,10代後半,学生,量産型ヘアセット,ヘアセット,凄く可愛く仕上げてもらって大満足です！！！お話も楽しくてまた機会があればお願いしたいと思います！,D店
女性,50代,会社員,サロンからのメッセージクーポン カット、カラー,カット、カラー,今回も、私のイメージ以上の仕上がりで、安心してお任せ出来ます。カットもカラーも大満足です。今度は、梅雨になる前に、伺います。,D店
女性,30代前半,会社員,カット+グロミルトリートメント,カット、エクステ、トリートメント,初めての来店でした。今回エクステアウトでしたが最初からここの美容院でエクステ付けれたら良かったなと思いました。丁寧に説明して頂いてすごくわかりやすかったです。色々相談して仕上がりも大変満足です。また施術お願いしたいです。,D店
女性,50代,会社員,カット+ケアカラー+グロミルトリートメント,カット、カラー、トリートメント,思ったスタイルにはならないの承知で、写真を持参。輪郭や頭の形、髪質、髪量などもあるのでその通りになるとは思っていません。が、この写真を見て、どうしたらこうなるのかな？というスタイルになりました。素人の私が見ても、この部分(サイド)はこの長さではないはずなのに、その部分は写真の髪型よりも4cmくらい短かったです。切った瞬間「え？」と思いましたが、もう仕方ないですよね。その時点で写真を見返す勇気もありませんでした。と同時に、このあと別の美容室に行くと決めていました。リクエストしたのはレイヤー多めのややウルフ。出来上がりはパッツンと切られたやや地雷系。泣きそうでしたが頑張って笑っていました。お店の方がとても感じ良かったので、嫌な顔も出来ず。それにしても、全然違うスタイルが完成したって、思わなかったのかな？ちょっとビックリしました。その後すぐに別の美容院に行きました。セミロングからミディアムの予定だったのに、結果ショートになってしまいました。(ショートしか逃げ道なかった),D店
女性,20代前半,,相談0円クーポン【迷ったらこちら】※メニュー内容を備考欄にご入力ください カット、カラー、パーマ、縮毛矯正、エクステ、トリートメント、ヘアセット、ヘッドスパ,カット、カラー、パーマ、縮毛矯正、エクステ、トリートメント、ヘアセット、ヘッドスパ,自分が優柔不断でかなり迷っていたのに、最初から最後まで丁寧に説明してくださって、本当にありがとうございます。髪の毛の巻き方や髪の毛のケアで気をつけるべきことなど、色々とためになりました！！ありがとうございます！,D店
女性,30代前半,自営業,カット＋フルカラー+前処理トリートメント,カット、カラー、トリートメント,いつも希望通りの髪色を叶えてくださって、本当に有難うございます。フランクに話せるのでサロンでの時間も楽しく過ごしています。これからもよろしくお願い致します。,D店
女性,30代前半,,カット+フルカラー+グロミルトリートメント,カット、カラー、エクステ、トリートメント,秋葉原にあるおしゃれすぎない落ち着ける雰囲気の美容室でした！担当してくれた方がかなり丁寧なカウンセリングをしてとても可愛く仕上がりました^ ^日が経てば経つほどエクステが馴染んできてます！！,D店
女性,20代前半,,量産型ヘアセット,ヘアセット,雨だったのに崩れずに夜まで過ごせました！希望通りの可愛い髪型にしてくださりありがとうございました！また機会がありましたらよろしくお願いします！,D店
女性,20代前半,会社員,量産型ヘアセット,ヘアセット,スタイリストさんのたんたんとしたヘアアレンジと、ちょうど良いくらいのコミュニケーションををしてくださって居心地が良かったです。髪型も可愛くしてくださったうえ、しっかりめに固めてくださいとお伝えしたところ一日中観光しても巻きが残ってて嬉しかったです～！ありがとうございました。,D店
女性,20代前半,会社員,【NEWOPEN】プルエクステ60本（42cm）,エクステ,初めてのエクステでしたが、丁寧にやって頂き満足です。また宜しくお願いします＾＾,D店
女性,40代,その他,クーポン利用なし エクステ,エクステ,先日はありがとうございました^_^おかげさまで、エクステと地毛がピッタリで安心しました～(*^o^*)次回も担当スタイリストさん指名したいと思いますので、よろしくお願いします～。,D店
女性,20代後半,会社員,量産型ヘアセット,ヘアセット,時間大幅に遅れて電話では巻き髪のみ。てなっていたのにハーフアップして頂きありがとうございました。 担当してくれた方もめちゃくちゃ親切で次の枠の方来ているのに最後まで丁寧にありがとうございます。またイベントある際は利用させて頂きます。,D店
女性,30代前半,主婦,【NEWOPEN】カット+フルカラー+前処理トリートメント,カット、カラー、トリートメント,初めて来店しました。とても丁寧にカウンセリングしていただき、しっかり自分の希望を伝えることができました。仕上がりもとても気に入ってます。私は美容院は緊張してしまうタチなのですが、美容師さんが気さくにお話して下さるし、丁度良い感じでそっとしてくれたりと気遣いのおかげで楽でした。他のお客さんも楽しそうにお話されている様子でした。また是非お願いしたいと思います。,D店
女性,20代前半,会社員,量産型ヘアセット,ヘアセット,ざっくりとしたオーダーでしたが、ライブの推しにあったセットをしてくれて嬉しかったです！髪も崩れにくいように固めてくれて嬉しかったです。また機会があったらお願いしたいです！,D店
女性,10代後半,学生,相談0円クーポン【迷ったらこちら】※メニュー内容を備考欄にご入力ください カット、カラー、パーマ、縮毛矯正、エクステ、トリートメント、ヘアセット、ヘッドスパ,カット、カラー、パーマ、縮毛矯正、エクステ、トリートメント、ヘアセット、ヘッドスパ,本日は素敵なカラーをして頂きありがとうございました。丁寧にカウンセリングをして頂き、仕上がりも満足です。ヘアケアについても沢山教えて頂き勉強になりました。次回もよろしくお願いいたします。,D店
女性,20代後半,自営業,パーティーヘアセット,ヘアセット,自分の中でも完成形が明確になっていなかったのですが、ふわっとした希望からとてもかわいい髪型に仕上げていただきました！撮影のためにお願いしたのですが、おかげさまで自信を持って挑むことができました。ありがとうございました！,D店
女性,30代前半,会社員,量産型ヘアセット,ヘアセット,推しグループの卒業ライブに行くためにヘアセットをしていただきました！ハーフアップに持ち込みの推しカラーのリボンをつけて頂いたのですが、担当スタイリストさんの雰囲気、手際ともに良く、ささっとまとめていただけました。また、とても雨が強い日だったのですが、しっかり固めてもらったので崩れなくてとても助かりました！ありがとうございました！また機会があったら利用したいです。,D店
女性,20代後半,パート・アルバイト,量産型ヘアセット,ヘアセット,綺麗な巻き髪にして頂きました！とっても可愛くて満足です。,D店
女性,10代後半,学生,カット+グロミルトリートメント,カット、トリートメント,ずっとヘアセットのみでしたが、今回初めてカットをお願いしました。手際が良くてあっという間に可愛くしてもらえたのでお願いしてよかったです。お話しするのもすごく楽しいのでまた行きます！,D店
女性,20代後半,会社員,量産型ヘアセット,ヘアセット,お見せした写真の通りに可愛い髪型になって嬉しいです。自分の髪の長さにも合うようにしてもらえて、1日くずれなかったので大満足です！時間もスピーディーで助かりました。近くでイベントがある時にはまたお願いしたいです。,D店
男性,20代後半,,【新規限定】メンズカット＋カラー90分8500円 カット、カラー,カット、カラー,夜遅くに空いている美容院が周りになく初めて訪れました。入ってすぐ店内の汚さに驚きました。(特に床についた染料？)カットとカラーをしましたが、カットが微妙で全体的にダサめの仕上がりに…ずっとタメ口なのも個人的には苦手でした。夜遅くに営業してくれていたところには感謝です。,D店
女性,10代後半,,カラー+プルエクステ80本（52cm）,カット、カラー、エクステ,毎回カラーもエクステも大満足の仕上がりにしてもらっています！！スタイリストさんも話しやすくとても楽しい時間を過ごせています！！次回も可愛くしてもらいに行きたいと思います！！！,D店
女性,10代後半,学生,カット+ケアカラー（アディクシー/イルミナカラー）,カット、カラー,髪色も触覚もとても良いです！親にも先生方にも好評です！ありがとうございました！,D店
女性,20代前半,学生,エクステお任せクーポン エクステ,エクステ,先日はありがとうございました！親身に相談に乗ってくださり、念願のロングになれました。本当にありがとうございます。,D店
女性,30代前半,会社員,クーポン利用なし エクステ,エクステ,当日,D店
女性,20代前半,会社員,【NEWOPEN】カット+フルカラー+前処理トリートメント,カット、カラー、トリートメント,自分の髪についてあまり理解してない部分が多かったんですが、分かりやすく丁寧に説明していただいて、自分に合う髪型をいくつか提案していただいたり、癖の直し方も教えていただいたり、仕上がりもとても満足のいく仕上がりでした。髪を切る選択肢は全くなかったので切るとは思ってなくて似合うか心配でしたが、切って大正解でした！ありがとうございました(＾ω＾),D店
女性,10代後半,,クーポン利用なし カット、カラー、エクステ,カット、カラー、エクステ,良かったです,D店
女性,40代,,【NEWOPEN】カラー+プルエクステ60本（42cm）,カラー、エクステ,とっても親切に対応していただきました！他店で付けたエクステだったのでオフをしようと思っていたのですがまだ外すのはもったいないとそのままカラーをしていただいてインナーカラーも何色がいいか親身に考えてくれて最初から最後まで感激でした♪♪また伺います！ありがとうございました♪♪,D店
